landslide_category,landslide_trigger,landslide_size,longitude,latitude,landslide_region,landslide_trigger_encoded,landslide_category_encoded,landslide_size_encoded,landslide_region_encoded
landslide,downpour,medium,75.2373,33.2407,Rainfall-Related,12,8,4,12
landslide,downpour,medium,93.1645,25.5215,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,75.2845,33.2049,Rainfall-Related,11,8,4,12
landslide,downpour,medium,75.244,33.2609,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.2181,32.3491,Rainfall-Related,12,8,4,12
landslide,downpour,very_large,77.4871,34.1416,Rainfall-Related,12,8,6,12
landslide,downpour,medium,91.2,25.8833,Rainfall-Related,12,8,4,12
landslide,rain,medium,88.2778,26.885,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,75.0582,32.6987,Rainfall-Related,11,8,4,12
landslide,downpour,medium,75.3226,34.2952,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.0462,25.3179,Rainfall-Related,12,8,4,12
landslide,rain,medium,93.4333,24.75,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,94.1078,24.1419,Rainfall-Related,11,8,4,12
landslide,unknown,medium,94.3619,25.0985,Other,3,8,4,13
landslide,rain,medium,75.496,34.1601,Rainfall-Related,10,8,4,12
mudslide,downpour,large,88.28,26.88,Rainfall-Related,12,7,5,12
landslide,downpour,medium,78.61786282,30.80200029,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.9792,9.6326,Rainfall-Related,12,8,4,12
rock_fall,monsoon,medium,73.7735,19.3421,Mountainous Regions,9,6,4,8
landslide,rain,medium,79.2498,30.2835,Rainfall-Related,10,8,4,12
landslide,downpour,medium,76.8521,31.9671,Rainfall-Related,12,8,4,12
landslide,downpour,medium,75.1773,33.3308,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.3162,26.8073,Rainfall-Related,12,8,4,12
landslide,construction,medium,79.8102,30.6145,Construction and Urban,4,8,4,10
landslide,unknown,medium,88.6586,27.6163,Other,3,8,4,13
landslide,unknown,medium,78.8979,22.1337,Other,3,8,4,13
landslide,downpour,small,73.8976,15.3455,Rainfall-Related,12,8,3,12
landslide,downpour,medium,72.907,19.0397,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.9312,31.709,Rainfall-Related,12,8,4,12
landslide,downpour,medium,79.4525,29.393,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.1947,32.1797,Rainfall-Related,12,8,4,12
landslide,downpour,small,77.1625,31.1032,Rainfall-Related,12,8,3,12
landslide,downpour,medium,77.1889,31.9843,Rainfall-Related,12,8,4,12
landslide,downpour,medium,91.885,25.5728,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,95.0243,26.7223,Rainfall-Related,11,8,4,12
landslide,continuous_rain,medium,73.927,15.4465,Rainfall-Related,11,8,4,12
landslide,rain,medium,77.6001,34.5628,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,93.4341,24.7625,Rainfall-Related,11,8,4,12
landslide,continuous_rain,medium,93.816,27.0987,Rainfall-Related,11,8,4,12
landslide,downpour,medium,88.6193,27.4459,Rainfall-Related,12,8,4,12
landslide,downpour,medium,93.028,25.1553,Rainfall-Related,12,8,4,12
landslide,rain,medium,78.3041,30.2828,Rainfall-Related,10,8,4,12
landslide,downpour,medium,79.4929,30.7412,Rainfall-Related,12,8,4,12
landslide,downpour,medium,72.8703,19.069,Rainfall-Related,12,8,4,12
landslide,continuous_rain,small,83.6299,19.1497,Rainfall-Related,11,8,3,12
landslide,rain,medium,75.137,32.8468,Rainfall-Related,10,8,4,12
landslide,downpour,medium,92.8573,25.1175,Rainfall-Related,12,8,4,12
mudslide,monsoon,large,80.2565,29.8002,Other,9,7,5,13
mudslide,downpour,medium,88.5287,27.1761,Rainfall-Related,12,7,4,12
landslide,rain,medium,75.8275,11.2738,Rainfall-Related,10,8,4,12
landslide,downpour,medium,92.9296,23.591,Rainfall-Related,12,8,4,12
rock_fall,rain,medium,78.4358,30.7313,Rainfall-Related,10,6,4,12
landslide,downpour,medium,78.9829,30.2851,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.3399,30.8987,Rainfall-Related,12,8,4,12
landslide,rain,medium,88.6069,27.3383,Rainfall-Related,10,8,4,12
landslide,rain,medium,73.47,18.72,Rainfall-Related,10,8,4,12
landslide,downpour,medium,77.444,8.1747,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.6746,31.4711,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.0969,30.904,Rainfall-Related,12,8,4,12
rock_fall,downpour,medium,77.6377,10.2379,Rainfall-Related,12,6,4,12
landslide,downpour,medium,74.9499,34.6113,Rainfall-Related,12,8,4,12
mudslide,continuous_rain,medium,93.5063,24.9829,Rainfall-Related,11,7,4,12
landslide,construction,medium,73.8164,15.4838,Construction and Urban,4,8,4,10
landslide,downpour,medium,93.3613,25.5125,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.4403,30.7333,Rainfall-Related,12,8,4,12
landslide,continuous_rain,small,77.7559,33.7403,Rainfall-Related,11,8,3,12
landslide,downpour,medium,78.4517,30.7467,Rainfall-Related,12,8,4,12
landslide,unknown,medium,88.5575,27.5161,Other,3,8,4,13
landslide,downpour,medium,94.48265093,25.31006064,Rainfall-Related,12,8,4,12
landslide,rain,medium,73.5111,19.6699,Rainfall-Related,10,8,4,12
landslide,downpour,large,77.5528,34.1619,Rainfall-Related,12,8,5,12
landslide,downpour,medium,77.5063,30.9544,Rainfall-Related,12,8,4,12
landslide,rain,medium,77.3544,30.6738,Rainfall-Related,10,8,4,12
landslide,downpour,medium,77.7755,31.5304,Rainfall-Related,12,8,4,12
landslide,monsoon,medium,80.3657,29.5659,Other,9,8,4,13
landslide,downpour,medium,93.5,24.9925,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.1695,30.7198,Rainfall-Related,12,8,4,12
landslide,rain,medium,77.6092,12.9752,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,95.3429,28.9205,Rainfall-Related,11,8,4,12
landslide,continuous_rain,medium,74.6163,33.9243,Rainfall-Related,11,8,4,12
landslide,downpour,medium,93.871,27.6438,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.8403,9.7327,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.251,27.0076,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,79.4552,29.3908,Rainfall-Related,11,8,4,12
landslide,downpour,medium,93.5935,24.8286,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.2468,32.371,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.0989,27.2298,Rainfall-Related,12,8,4,12
landslide,unknown,medium,91.8584,25.9703,Other,3,8,4,13
landslide,downpour,small,74.4838,33.6303,Rainfall-Related,12,8,3,12
landslide,downpour,medium,76.921,8.4951,Rainfall-Related,12,8,4,12
landslide,downpour,medium,80.6103,16.5332,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,90.2023,25.5145,Rainfall-Related,11,8,4,12
landslide,continuous_rain,small,78.037,32.2473,Rainfall-Related,11,8,3,12
landslide,downpour,medium,79.2191,30.262,Rainfall-Related,12,8,4,12
landslide,downpour,medium,75.605,12.6445,Rainfall-Related,12,8,4,12
landslide,unknown,medium,74.1794,33.7453,Other,3,8,4,13
landslide,downpour,medium,76.7046,9.8721,Rainfall-Related,12,8,4,12
other,downpour,medium,77.571,11.683,Rainfall-Related,12,2,4,12
landslide,downpour,medium,72.9266,19.153,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,74.1623,15.0275,Rainfall-Related,12,7,4,12
landslide,continuous_rain,medium,73.5097,17.4303,Rainfall-Related,11,8,4,12
landslide,continuous_rain,small,73.9593,34.6609,Rainfall-Related,11,8,3,12
landslide,rain,medium,91.88,25.38,Rainfall-Related,10,8,4,12
landslide,downpour,large,91.7351,26.1548,Rainfall-Related,12,8,5,12
landslide,rain,medium,76.83270934,34.93977198,Rainfall-Related,10,8,4,12
landslide,downpour,medium,74.0225,34.0876,Rainfall-Related,12,8,4,12
landslide,rain,medium,75.24528226,33.23738085,Rainfall-Related,10,8,4,12
landslide,downpour,medium,92.967,22.479,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.3755,30.2258,Rainfall-Related,12,8,4,12
landslide,downpour,medium,79.6628,29.6095,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.63411246,27.15977181,Rainfall-Related,12,8,4,12
landslide,unknown,medium,77.5666,10.3448,Other,3,8,4,13
landslide,downpour,medium,79.5322,30.9013,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,78.9,30.241,Rainfall-Related,11,8,4,12
landslide,downpour,medium,96.1779,27.8965,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,75.1447,32.9262,Rainfall-Related,11,8,4,12
landslide,downpour,medium,94.1099,25.6682,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,93.9815,24.004,Rainfall-Related,11,8,4,12
landslide,downpour,medium,78.1514,29.9531,Rainfall-Related,12,8,4,12
landslide,downpour,large,88.2579,27.2879,Rainfall-Related,12,8,5,12
debris_flow,downpour,medium,78.3911,30.4542,Rainfall-Related,12,5,4,12
landslide,downpour,medium,92.9914,25.5242,Rainfall-Related,12,8,4,12
landslide,snowfall_snowmelt,medium,75.2966,33.0809,Snow and Ice,6,8,4,9
landslide,continuous_rain,medium,75.5807,32.4298,Rainfall-Related,11,8,4,12
landslide,downpour,medium,74.9402,33.0097,Rainfall-Related,12,8,4,12
landslide,downpour,medium,79.1127,30.506,Rainfall-Related,12,8,4,12
landslide,downpour,medium,74.0934,33.775,Rainfall-Related,12,8,4,12
landslide,downpour,medium,93.9157,24.6869,Rainfall-Related,12,8,4,12
landslide,rain,medium,75.231,33.242,Rainfall-Related,10,8,4,12
landslide,rain,large,80.2167,29.5833,Rainfall-Related,10,8,5,12
landslide,downpour,medium,75.8062,33.1847,Rainfall-Related,12,8,4,12
mudslide,rain,medium,96.174,27.9032,Rainfall-Related,10,7,4,12
landslide,unknown,small,80.6024,16.5172,Other,3,8,3,13
landslide,rain,medium,94.1079,25.4191,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,75.7964,33.1457,Rainfall-Related,11,8,4,12
landslide,downpour,medium,74.9845,33.9513,Rainfall-Related,12,8,4,12
landslide,unknown,small,74.8678,12.8041,Other,3,8,3,13
landslide,downpour,medium,77.0969,30.9044,Rainfall-Related,12,8,4,12
landslide,rain,medium,88.4308,27.0713,Rainfall-Related,10,8,4,12
landslide,downpour,medium,77.1788,32.17,Rainfall-Related,12,8,4,12
landslide,continuous_rain,small,76.1206,32.5606,Rainfall-Related,11,8,3,12
landslide,downpour,medium,94.9921,26.8716,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.7241,31.1628,Rainfall-Related,12,8,4,12
landslide,unknown,medium,91.8744337,26.09748244,Other,3,8,4,13
mudslide,downpour,medium,92.35,27.4,Rainfall-Related,12,7,4,12
landslide,downpour,medium,88.7334,27.3702,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,88.47,26.89,Rainfall-Related,12,7,4,12
landslide,downpour,medium,78.6437,30.7221,Rainfall-Related,12,8,4,12
landslide,continuous_rain,small,79.5765,30.5631,Rainfall-Related,11,8,3,12
landslide,downpour,small,94.3429,24.3527,Rainfall-Related,12,8,3,12
landslide,unknown,medium,94.7499,26.0977,Other,3,8,4,13
landslide,downpour,medium,88.43849551,27.02459801,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.3641,32.2067,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.071,32.2278,Rainfall-Related,12,8,4,12
mudslide,rain,medium,88.2789,26.8905,Rainfall-Related,10,7,4,12
landslide,unknown,small,88.4553,26.9282,Other,3,8,3,13
landslide,continuous_rain,medium,80.2386,30.0712,Rainfall-Related,11,8,4,12
landslide,continuous_rain,medium,78.6185,30.8203,Rainfall-Related,11,8,4,12
landslide,rain,medium,88.2548,27.0096,Rainfall-Related,10,8,4,12
landslide,continuous_rain,small,73.4703,18.7833,Rainfall-Related,11,8,3,12
landslide,downpour,medium,76.3037,32.2322,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.4445,26.9435,Rainfall-Related,12,8,4,12
landslide,rain,small,88.4089,26.7324,Rainfall-Related,10,8,3,12
landslide,continuous_rain,small,76.9297,31.7085,Rainfall-Related,11,8,3,12
landslide,downpour,medium,88.1704,26.8861,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,75.1466,33.0677,Rainfall-Related,12,7,4,12
landslide,construction,medium,73.5036,19.678,Construction and Urban,4,8,4,10
landslide,downpour,medium,96.5242,28.0791,Rainfall-Related,12,8,4,12
complex,monsoon,medium,77.12,31.0,Other,9,4,4,13
landslide,continuous_rain,small,74.4203,34.0604,Rainfall-Related,11,8,3,12
landslide,rain,medium,73.1703,20.5349,Rainfall-Related,10,8,4,12
landslide,rain,medium,78.1123,30.1665,Rainfall-Related,10,8,4,12
rock_fall,continuous_rain,small,73.347,18.7631,Rainfall-Related,11,6,3,12
landslide,downpour,small,88.6083,27.3341,Rainfall-Related,12,8,3,12
landslide,continuous_rain,medium,94.5466,26.0319,Rainfall-Related,11,8,4,12
landslide,downpour,medium,74.0967,33.7705,Rainfall-Related,12,8,4,12
landslide,rain,medium,76.3194,32.1967,Rainfall-Related,10,8,4,12
landslide,downpour,medium,72.7169,24.5958,Rainfall-Related,12,8,4,12
landslide,rain,medium,79.1492,18.431,Rainfall-Related,10,8,4,12
landslide,downpour,medium,76.826,34.1491,Rainfall-Related,12,8,4,12
debris_flow,downpour,medium,78.0973,30.4554,Rainfall-Related,12,5,4,12
landslide,rain,medium,88.4808,27.0765,Rainfall-Related,10,8,4,12
landslide,unknown,small,93.7706,27.1249,Other,3,8,3,13
landslide,continuous_rain,unknown,94.2442,26.1677,Rainfall-Related,11,8,2,12
landslide,downpour,medium,73.9667,15.949,Rainfall-Related,12,8,4,12
landslide,downpour,large,95.8011,27.174,Rainfall-Related,12,8,5,12
landslide,downpour,medium,80.6055,16.5141,Rainfall-Related,12,8,4,12
landslide,downpour,medium,95.86,28.4659,Rainfall-Related,12,8,4,12
landslide,downpour,medium,74.8735,12.896,Rainfall-Related,12,8,4,12
landslide,rain,medium,78.2741,30.4783,Rainfall-Related,10,8,4,12
landslide,downpour,medium,79.0478,30.688,Rainfall-Related,12,8,4,12
landslide,downpour,medium,79.5306,30.6463,Rainfall-Related,12,8,4,12
landslide,rain,medium,76.2728,12.9711,Rainfall-Related,10,8,4,12
landslide,downpour,medium,93.4221,24.7505,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,94.0489,25.4477,Rainfall-Related,11,8,4,12
landslide,downpour,medium,76.803,9.7285,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,94.5808,26.284,Rainfall-Related,11,8,4,12
landslide,downpour,medium,93.4093,25.0672,Rainfall-Related,12,8,4,12
landslide,rain,medium,78.5017,30.3797,Rainfall-Related,10,8,4,12
landslide,rain,medium,75.72,25.08,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,94.1016,24.1988,Rainfall-Related,11,8,4,12
landslide,monsoon,medium,76.3075,32.1764,Other,9,8,4,13
landslide,downpour,large,79.0544,30.6945,Rainfall-Related,12,8,5,12
landslide,rain,medium,77.3913,31.0766,Rainfall-Related,10,8,4,12
rock_fall,monsoon,large,78.1181,31.5124,Mountainous Regions,9,6,5,8
landslide,downpour,medium,76.6939,11.4098,Rainfall-Related,12,8,4,12
landslide,downpour,medium,91.7351,26.149,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,75.0922,32.9411,Rainfall-Related,12,7,4,12
landslide,downpour,medium,75.5227,32.3682,Rainfall-Related,12,8,4,12
landslide,downpour,medium,73.0207,19.1711,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.5959,11.3192,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.9517,8.4863,Rainfall-Related,12,8,4,12
landslide,downpour,large,94.25,27.8776,Rainfall-Related,12,8,5,12
landslide,downpour,medium,77.1792,30.9546,Rainfall-Related,12,8,4,12
landslide,downpour,medium,74.8586,12.8157,Rainfall-Related,12,8,4,12
landslide,downpour,large,91.7356,26.1475,Rainfall-Related,12,8,5,12
mudslide,continuous_rain,medium,93.487,24.9037,Rainfall-Related,11,7,4,12
landslide,continuous_rain,medium,93.9827,25.4538,Rainfall-Related,11,8,4,12
landslide,downpour,unknown,88.1218,27.1027,Rainfall-Related,12,8,2,12
landslide,downpour,medium,94.3864,26.1147,Rainfall-Related,12,8,4,12
landslide,snowfall_snowmelt,medium,75.1827,33.3037,Snow and Ice,6,8,4,9
landslide,downpour,medium,77.0965,30.9035,Rainfall-Related,12,8,4,12
landslide,snowfall_snowmelt,medium,75.2006,33.2537,Snow and Ice,6,8,4,9
landslide,unknown,medium,78.7075,10.8319,Other,3,8,4,13
landslide,rain,medium,88.6236,27.3425,Rainfall-Related,10,8,4,12
landslide,continuous_rain,unknown,92.7239,24.5202,Rainfall-Related,11,8,2,12
landslide,construction,small,76.9592,10.3316,Construction and Urban,4,8,3,10
landslide,downpour,medium,83.2414,19.316,Rainfall-Related,12,8,4,12
mudslide,monsoon,medium,93.5142,24.9818,Other,9,7,4,13
landslide,snowfall_snowmelt,medium,75.8101,33.1804,Snow and Ice,6,8,4,9
landslide,downpour,medium,88.4441,26.944,Rainfall-Related,12,8,4,12
mudslide,monsoon,medium,76.8298,10.0539,Other,9,7,4,13
landslide,downpour,medium,77.1586,32.0996,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,73.02,19.1869,Rainfall-Related,12,7,4,12
landslide,downpour,medium,75.1915,32.9913,Rainfall-Related,12,8,4,12
debris_flow,continuous_rain,medium,79.4954,30.7386,Rainfall-Related,11,5,4,12
landslide,rain,small,76.1147,13.1819,Rainfall-Related,10,8,3,12
landslide,continuous_rain,medium,78.4375,30.9753,Rainfall-Related,11,8,4,12
landslide,downpour,medium,79.3628,30.301,Rainfall-Related,12,8,4,12
mudslide,downpour,large,72.8899,19.0949,Rainfall-Related,12,7,5,12
landslide,rain,medium,76.9354,11.2993,Rainfall-Related,10,8,4,12
landslide,rain,small,91.7998,26.1985,Rainfall-Related,10,8,3,12
landslide,downpour,medium,94.1139,25.6269,Rainfall-Related,12,8,4,12
landslide,monsoon,medium,76.4319,10.3228,Other,9,8,4,13
rock_fall,downpour,medium,74.172,21.6989,Rainfall-Related,12,6,4,12
landslide,downpour,medium,76.9313,31.7077,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,74.6566,33.9344,Rainfall-Related,11,8,4,12
landslide,downpour,medium,79.5605,30.6594,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.2114,31.4582,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.3737,31.5375,Rainfall-Related,12,8,4,12
landslide,rain,medium,75.0944,32.5659,Rainfall-Related,10,8,4,12
landslide,downpour,small,88.4314,26.9974,Rainfall-Related,12,8,3,12
landslide,rain,medium,77.16,31.1,Rainfall-Related,10,8,4,12
landslide,unknown,medium,75.3142,33.1206,Other,3,8,4,13
landslide,rain,small,82.5725,25.4941,Rainfall-Related,10,8,3,12
landslide,monsoon,medium,76.6331,10.0606,Other,9,8,4,13
landslide,downpour,medium,78.3475,30.6785,Rainfall-Related,12,8,4,12
landslide,downpour,medium,80.126,29.36,Rainfall-Related,12,8,4,12
landslide,rain,medium,94.9275,26.8727,Rainfall-Related,10,8,4,12
landslide,downpour,medium,93.7273,27.0011,Rainfall-Related,12,8,4,12
landslide,downpour,medium,92.7463,23.7327,Rainfall-Related,12,8,4,12
landslide,downpour,medium,76.9006,9.8012,Rainfall-Related,12,8,4,12
landslide,downpour,medium,74.6624,14.0354,Rainfall-Related,12,8,4,12
landslide,unknown,small,74.3524,34.209,Other,3,8,3,13
landslide,downpour,medium,77.3916,31.0766,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,74.4016,34.0978,Rainfall-Related,11,8,4,12
landslide,downpour,medium,80.2214,29.58,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.708,27.3721,Rainfall-Related,12,8,4,12
landslide,downpour,medium,75.234,33.241,Rainfall-Related,12,8,4,12
landslide,continuous_rain,small,73.347,18.7632,Rainfall-Related,11,8,3,12
landslide,rain,medium,79.6805,29.5935,Rainfall-Related,10,8,4,12
translational_slide,continuous_rain,large,90.5573,25.203,Rainfall-Related,11,3,5,12
landslide,downpour,medium,76.7622,31.3237,Rainfall-Related,12,8,4,12
landslide,snowfall_snowmelt,medium,75.1969,33.3343,Snow and Ice,6,8,4,9
landslide,downpour,medium,94.8158,26.1984,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,92.4943,24.4638,Rainfall-Related,11,8,4,12
rock_fall,downpour,medium,82.8555,18.7734,Rainfall-Related,12,6,4,12
landslide,unknown,medium,75.264,32.6173,Other,3,8,4,13
landslide,rain,medium,74.0478,14.9935,Rainfall-Related,10,8,4,12
landslide,downpour,medium,92.74128531,23.75406693,Rainfall-Related,12,8,4,12
landslide,downpour,medium,75.3278,33.1617,Rainfall-Related,12,8,4,12
rock_fall,downpour,medium,74.2279,14.7822,Rainfall-Related,12,6,4,12
landslide,downpour,medium,94.803,26.0814,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.1318,25.7902,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,93.4957,24.8961,Rainfall-Related,12,7,4,12
landslide,downpour,medium,88.3603,27.0377,Rainfall-Related,12,8,4,12
landslide,downpour,medium,74.9437,33.0165,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.9258,31.2403,Rainfall-Related,12,8,4,12
landslide,downpour,medium,79.5192,30.6509,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,74.3279,34.2088,Rainfall-Related,11,8,4,12
landslide,rain,small,92.3576,24.8669,Rainfall-Related,10,8,3,12
landslide,downpour,medium,72.8929,19.1095,Rainfall-Related,12,8,4,12
landslide,downpour,large,79.7758,29.841,Rainfall-Related,12,8,5,12
landslide,downpour,medium,74.3313,33.9659,Rainfall-Related,12,8,4,12
rock_fall,continuous_rain,medium,77.1784,32.2338,Rainfall-Related,11,6,4,12
landslide,continuous_rain,medium,92.7878,23.3572,Rainfall-Related,11,8,4,12
landslide,downpour,medium,94.11603493,25.61560252,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.8833,26.4333,Rainfall-Related,12,8,4,12
landslide,downpour,small,88.4674,27.0599,Rainfall-Related,12,8,3,12
landslide,downpour,medium,79.0479,30.6838,Rainfall-Related,12,8,4,12
landslide,monsoon,medium,76.9346,9.8957,Other,9,8,4,13
debris_flow,rain,medium,88.4909,27.2084,Rainfall-Related,10,5,4,12
landslide,downpour,medium,75.9957,11.4816,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.4151,30.966,Rainfall-Related,12,8,4,12
landslide,rain,small,91.7548,26.1314,Rainfall-Related,10,8,3,12
landslide,downpour,medium,74.3723,33.5405,Rainfall-Related,12,8,4,12
landslide,mining,small,74.2197,15.7051,Construction and Urban,5,8,3,10
landslide,downpour,medium,78.4401,30.7332,Rainfall-Related,12,8,4,12
landslide,unknown,large,94.4922,26.1699,Other,3,8,5,13
landslide,downpour,medium,94.1167,27.2333,Rainfall-Related,12,8,4,12
landslide,rain,medium,92.6921,24.1293,Rainfall-Related,10,8,4,12
landslide,rain,medium,94.0144205,25.03561729,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,78.9014,30.2411,Rainfall-Related,11,8,4,12
landslide,downpour,medium,75.1793,33.3018,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.1884,25.3833,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.7756,30.9015,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,91.7042,26.1666,Rainfall-Related,11,8,4,12
landslide,rain,medium,79.3158,30.3642,Rainfall-Related,10,8,4,12
landslide,unknown,medium,94.7031,26.0977,Other,3,8,4,13
landslide,downpour,large,80.2098,29.5885,Rainfall-Related,12,8,5,12
landslide,downpour,medium,77.582,10.2462,Rainfall-Related,12,8,4,12
landslide,rain,medium,77.1236,11.2777,Rainfall-Related,10,8,4,12
landslide,downpour,medium,76.5289,9.5988,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.5306,30.7394,Rainfall-Related,12,8,4,12
landslide,continuous_rain,medium,94.1383,25.48,Rainfall-Related,11,8,4,12
landslide,continuous_rain,medium,74.5915,34.0096,Rainfall-Related,11,8,4,12
landslide,downpour,medium,75.4325,33.1289,Rainfall-Related,12,8,4,12
